date,title,link
Sunday 23 March 2025 - 19:51,غارة إسرائيلية على مستشفى بغزة,https://www.hespress.com/%d8%ba%d8%a7%d8%b1%d8%a9-%d8%a5%d8%b3%d8%b1%d8%a7%d8%a6%d9%8a%d9%84%d9%8a%d8%a9-%d8%b9%d9%84%d9%89-%d9%85%d8%b3%d8%aa%d8%b4%d9%81%d9%89-%d8%a8%d8%ba%d8%b2%d8%a9-1533169.html
Sunday 23 March 2025 - 10:36,قصف ليلي يخلف 30 قتيلا في غزة,https://www.hespress.com/%d9%82%d8%b5%d9%81-%d9%84%d9%8a%d9%84%d9%8a-%d9%8a%d8%ae%d9%84%d9%81-30-%d9%82%d8%aa%d9%8a%d9%84%d8%a7-%d9%81%d9%8a-%d8%ba%d8%b2%d8%a9-1532898.html
